sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",99.33333333333333,95.33333333333333,95.16666666666667,96.66666666666667,97.16666666666667,96.73333333333333,173.0362584590912
"(0, 4, 1, 2, 3)",99.33333333333333,95.33333333333333,95.16666666666667,96.66666666666667,97.16666666666667,96.73333333333333,173.0362584590912
"(4, 0, 2, 1, 3)",99.33333333333333,95.33333333333333,95.16666666666667,96.66666666666667,97.16666666666667,96.73333333333333,173.0362584590912
"(4, 0, 1, 2, 3)",99.33333333333333,95.33333333333333,95.16666666666667,96.66666666666667,97.16666666666667,96.73333333333333,173.0362584590912
"(1, 4, 2, 0, 3)",95.83333333333333,93.16666666666667,96.16666666666667,98.66666666666667,96.16666666666667,96.00000000000001,179.98790287971497
"(1, 4, 0, 2, 3)",95.83333333333333,93.16666666666667,96.16666666666667,98.66666666666667,96.16666666666667,96.00000000000001,179.98790287971497
"(4, 1, 2, 0, 3)",95.83333333333333,93.16666666666667,96.16666666666667,98.66666666666667,96.16666666666667,96.00000000000001,179.98790287971497
"(4, 1, 0, 2, 3)",95.83333333333333,93.16666666666667,96.16666666666667,98.66666666666667,96.16666666666667,96.00000000000001,179.98790287971497
"(4, 3, 0, 2, 1)",76.16666666666667,86.66666666666667,93.5,77.33333333333333,73.83333333333333,81.5,171.53378796577454
"(4, 3, 2, 0, 1)",76.16666666666667,86.66666666666667,93.5,77.33333333333333,73.83333333333333,81.5,171.53378796577454
"(3, 4, 0, 2, 1)",76.16666666666667,86.66666666666667,93.5,77.33333333333333,73.83333333333333,81.5,171.53378796577454
"(3, 4, 2, 0, 1)",76.16666666666667,86.66666666666667,93.5,77.33333333333333,73.83333333333333,81.5,171.53378796577454
"(4, 3, 0, 1, 2)",95.0,96.33333333333333,92.0,98.0,88.33333333333333,93.93333333333332,170.98285841941833
"(4, 3, 1, 0, 2)",95.0,96.33333333333333,92.0,98.0,88.33333333333333,93.93333333333332,170.98285841941833
"(3, 4, 0, 1, 2)",95.0,96.33333333333333,92.0,98.0,88.33333333333333,93.93333333333332,170.98285841941833
"(3, 4, 1, 0, 2)",95.0,96.33333333333333,92.0,98.0,88.33333333333333,93.93333333333332,170.98285841941833
"(0, 1, 2, 3, 4)",98.83333333333333,96.5,83.66666666666667,97.33333333333333,90.5,93.36666666666666,166.5866184234619
"(0, 1, 3, 2, 4)",98.83333333333333,96.5,83.66666666666667,97.33333333333333,90.5,93.36666666666666,166.5866184234619
"(1, 0, 2, 3, 4)",98.83333333333333,96.5,83.66666666666667,97.33333333333333,90.5,93.36666666666666,166.5866184234619
"(1, 0, 3, 2, 4)",98.83333333333333,96.5,83.66666666666667,97.33333333333333,90.5,93.36666666666666,166.5866184234619
"(2, 1, 0, 3, 4)",95.16666666666667,96.16666666666667,90.83333333333333,97.16666666666667,93.66666666666667,94.60000000000001,173.27902007102966
"(2, 1, 3, 0, 4)",95.16666666666667,96.16666666666667,90.83333333333333,97.16666666666667,93.66666666666667,94.60000000000001,173.27902007102966
"(1, 2, 0, 3, 4)",95.16666666666667,96.16666666666667,90.83333333333333,97.16666666666667,93.66666666666667,94.60000000000001,173.27902007102966
"(1, 2, 3, 0, 4)",95.16666666666667,96.16666666666667,90.83333333333333,97.16666666666667,93.66666666666667,94.60000000000001,173.27902007102966
"(0, 3, 4, 1, 2)",97.16666666666667,98.0,91.66666666666667,93.83333333333333,94.0,94.93333333333334,177.68189072608948
"(0, 3, 1, 4, 2)",97.16666666666667,98.0,91.66666666666667,93.83333333333333,94.0,94.93333333333334,177.68189072608948
"(3, 0, 4, 1, 2)",97.16666666666667,98.0,91.66666666666667,93.83333333333333,94.0,94.93333333333334,177.68189072608948
"(3, 0, 1, 4, 2)",97.16666666666667,98.0,91.66666666666667,93.83333333333333,94.0,94.93333333333334,177.68189072608948
"(4, 2, 0, 1, 3)",95.33333333333333,97.66666666666667,98.0,95.0,86.5,94.5,169.19085240364075
"(4, 2, 1, 0, 3)",95.33333333333333,97.66666666666667,98.0,95.0,86.5,94.5,169.19085240364075
"(2, 4, 0, 1, 3)",95.33333333333333,97.66666666666667,98.0,95.0,86.5,94.5,169.19085240364075
"(2, 4, 1, 0, 3)",95.33333333333333,97.66666666666667,98.0,95.0,86.5,94.5,169.19085240364075
"(3, 0, 2, 1, 4)",96.83333333333333,99.66666666666667,95.0,97.83333333333333,92.5,96.36666666666666,173.85858726501465
"(3, 0, 1, 2, 4)",96.83333333333333,99.66666666666667,95.0,97.83333333333333,92.5,96.36666666666666,173.85858726501465
"(0, 3, 2, 1, 4)",96.83333333333333,99.66666666666667,95.0,97.83333333333333,92.5,96.36666666666666,173.85858726501465
"(0, 3, 1, 2, 4)",96.83333333333333,99.66666666666667,95.0,97.83333333333333,92.5,96.36666666666666,173.85858726501465
"(3, 2, 1, 4, 0)",95.5,94.83333333333333,97.0,90.83333333333333,75.16666666666667,90.66666666666666,170.100976228714
"(3, 2, 4, 1, 0)",95.5,94.83333333333333,97.0,90.83333333333333,75.16666666666667,90.66666666666666,170.100976228714
"(2, 3, 1, 4, 0)",95.5,94.83333333333333,97.0,90.83333333333333,75.16666666666667,90.66666666666666,170.100976228714
"(2, 3, 4, 1, 0)",95.5,94.83333333333333,97.0,90.83333333333333,75.16666666666667,90.66666666666666,170.100976228714
