sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",98.33333333333333,84.16666666666667,45.833333333333336,71.66666666666667,93.33333333333333,78.66666666666666,26.841757774353027
"(0, 4, 1, 2, 3)",98.33333333333333,84.16666666666667,45.833333333333336,71.66666666666667,93.33333333333333,78.66666666666666,26.841757774353027
"(4, 0, 2, 1, 3)",98.33333333333333,84.16666666666667,45.833333333333336,71.66666666666667,93.33333333333333,78.66666666666666,26.841757774353027
"(4, 0, 1, 2, 3)",98.33333333333333,84.16666666666667,45.833333333333336,71.66666666666667,93.33333333333333,78.66666666666666,26.841757774353027
"(1, 4, 2, 0, 3)",89.16666666666667,92.5,76.66666666666667,89.16666666666667,94.16666666666667,88.33333333333334,25.82161593437195
"(1, 4, 0, 2, 3)",89.16666666666667,92.5,76.66666666666667,89.16666666666667,94.16666666666667,88.33333333333334,25.82161593437195
"(4, 1, 2, 0, 3)",89.16666666666667,92.5,76.66666666666667,89.16666666666667,94.16666666666667,88.33333333333334,25.82161593437195
"(4, 1, 0, 2, 3)",89.16666666666667,92.5,76.66666666666667,89.16666666666667,94.16666666666667,88.33333333333334,25.82161593437195
"(4, 3, 0, 2, 1)",83.33333333333333,86.66666666666667,100.0,81.66666666666667,88.33333333333333,88.0,26.26615595817566
"(4, 3, 2, 0, 1)",83.33333333333333,86.66666666666667,100.0,81.66666666666667,88.33333333333333,88.0,26.26615595817566
"(3, 4, 0, 2, 1)",83.33333333333333,86.66666666666667,100.0,81.66666666666667,88.33333333333333,88.0,26.26615595817566
"(3, 4, 2, 0, 1)",83.33333333333333,86.66666666666667,100.0,81.66666666666667,88.33333333333333,88.0,26.26615595817566
"(4, 3, 0, 1, 2)",83.33333333333333,96.66666666666667,97.5,78.33333333333333,68.33333333333333,84.83333333333333,25.979851245880127
"(4, 3, 1, 0, 2)",83.33333333333333,96.66666666666667,97.5,78.33333333333333,68.33333333333333,84.83333333333333,25.979851245880127
"(3, 4, 0, 1, 2)",83.33333333333333,96.66666666666667,97.5,78.33333333333333,68.33333333333333,84.83333333333333,25.979851245880127
"(3, 4, 1, 0, 2)",83.33333333333333,96.66666666666667,97.5,78.33333333333333,68.33333333333333,84.83333333333333,25.979851245880127
"(0, 1, 2, 3, 4)",92.5,87.5,79.16666666666667,87.5,76.66666666666667,84.66666666666667,25.133360147476196
"(0, 1, 3, 2, 4)",92.5,87.5,79.16666666666667,87.5,76.66666666666667,84.66666666666667,25.133360147476196
"(1, 0, 2, 3, 4)",92.5,87.5,79.16666666666667,87.5,76.66666666666667,84.66666666666667,25.133360147476196
"(1, 0, 3, 2, 4)",92.5,87.5,79.16666666666667,87.5,76.66666666666667,84.66666666666667,25.133360147476196
